ID,Treść,Autor,Data
1396185902003769349,¿Y si salen con abrigo de pieles podemos hablar de #Eurovisón?,Perropeluquin,2021-05-22 19:27:13+00:00
1396185543784939522,that squeal in the end of Israel's song is as pleasant as the dying screams of Palestine children... 😈 #Eurovison,ThatSnarkyOrc,2021-05-22 19:25:48+00:00
1396185514789715973,What you saying about Belgium? #eurovison,AntonyCosta,2021-05-22 19:25:41+00:00
1396185475061325826,"Well done Belgium, on a great song. #eurovison",brammall,2021-05-22 19:25:31+00:00
1396185465200562187,"noi il resto dell’anno: che schifo l’italia, è piena di problemi                 noi quando c’è l’eurovision:   #eurovison #Escita2021 #maneskin https://t.co/skkSzciGbh",peduv1,2021-05-22 19:25:29+00:00
1396185399962308608,I think the Belgian entry is the closest to my own musical tastes. Maybe because the lead singer reminds me of Emily Haines from Metric. But I’m not sure it’s the sort of thing that wins #EUROVISON,Anthropic,2021-05-22 19:25:13+00:00
1396185343339139075,"моя крашесса, господи, забирай моё сердечко 😍😍😍😭😭😭❤️❤️❤️
#eurovison https://t.co/0caXx83q8g",twidade_Iucks,2021-05-22 19:25:00+00:00
1396185336053739526,"I didn’t enjoy Belgium on the night of their semi but, frankly, it’s quite the grower. #eurovison #bel",marcooth,2021-05-22 19:24:58+00:00
1396185314322960390,Zet hem op zuiderburen! #eurovison #eurovisiesongfestival,dwit1234,2021-05-22 19:24:53+00:00
1396185135092011009,"Okay, können wir alle für Belgien stimmen, damit der #Eurovison nächstes Jahr in Brüssel stattfindet und wir alle hinfahren können? #ESC2021",Quisanne,2021-05-22 19:24:10+00:00
1396184606970372097,Bring back Pearl Carr and Teddy Johnson. We need that little birdie to sing. #eurovison,brammall,2021-05-22 19:22:04+00:00
1396184575295037443,Israel advocating setting things on fire 🤦🏻🧐 #eurovison,jakobteriksen,2021-05-22 19:21:57+00:00
1396184421221404672,@Eurovision well Israel is fucked before she even begins..  Free Palestine. #eurovison #eurovison2021 #FreePalestine,Beastlysolid,2021-05-22 19:21:20+00:00
1396184293223899144,#eurovison and an entrant from Israel. And now I know why we don't need to win this shit show anymore.,thegorgeousgus,2021-05-22 19:20:50+00:00
1396184094212513793,Awkward time #Eurovison #ISR,TeltheTrekkie,2021-05-22 19:20:02+00:00
1396183980630843392,"@Nico Nein, nein. Das liest einfach wer die ganzen Tweets vor. #Eurovison #Twitteratitsbest",KatjaEvertz,2021-05-22 19:19:35+00:00
1396183903027798016,"Der Titel... Die Ironie #ESC2021
#eurovison",petalatpeace,2021-05-22 19:19:16+00:00
1396183221952524292,This is classic mid-table #Eurovison fodder on show from Albania. A safe 86 points scored here,thenathkinsell,2021-05-22 19:16:34+00:00
1396183195536793600,Anxhela Peristeri ♥ Je shumë e mirë ♥ #ALB #Eurovison #OpenUp,CherryB37209592,2021-05-22 19:16:28+00:00
1396183084928847873,Turn that fan on! #EUROVISON,Anthropic,2021-05-22 19:16:01+00:00
1396182932340068352,a quien votará rocío carrasco? #Eurovison,queascopitos,2021-05-22 19:15:25+00:00
1396182920902201348,So who's watching #Eurovison ?,simonlightwood,2021-05-22 19:15:22+00:00
1396182772813811716,"Sorry Cyprus, nill points from me. Hate synchronised dancing. #eurovison",brammall,2021-05-22 19:14:47+00:00
1396182748990214147,"Me gusta mucho el diablo, palante #Eurovison",SestraOB,2021-05-22 19:14:41+00:00
1396182714856976386,@TheMobyKeech @icklebrickle @BruncleHiro *glances at a Moby Poker Face* #eurovison,macwhittle,2021-05-22 19:14:33+00:00
1396182425420668931,"Her hips don't lie! #esc2021
#eurovison #Cyprus #ard_one",petalatpeace,2021-05-22 19:13:24+00:00
1396182309716455425,#eurovison 2019 I was front row in Tel Aviv! 🇮🇱 2021 I’m in my pjs with a tv. Still loving every moment!! 💛💛💛 Good morning #SBSEurovision !!,toddm78,2021-05-22 19:12:57+00:00
1396182222516985861,@icklebrickle @BruncleHiro @TheMobyKeech Omd this is LadyGaga copy song #eurovison,macwhittle,2021-05-22 19:12:36+00:00
1396182119592910850,"#eurovison a rip off of bad romance anyone, cyprus?",FitzMadam,2021-05-22 19:12:11+00:00
1396182115927142402,"Servicecounter Glitzerbadeanzüge: 1 

#ESC2021 #eurovison #esc",ChiaraMeiners,2021-05-22 19:12:10+00:00
1396181775471288327,"🇨🇾Cyprus - even if this half-copy of Lady GaGa's Bad Romance doesn't win, she should get onto that crowd behind that Chilian wine of the song's same name.

Years of royalties in the making there girl!

#CY #Eurovison",bearaboi,2021-05-22 19:10:49+00:00
1396181399099650054,#Eurovison let's go!,Lewiinski_,2021-05-22 19:09:19+00:00
1396181361787088901,Let's go pour l'#Eurovison ! https://t.co/AMDfRtZO3z,Newtiteuf,2021-05-22 19:09:11+00:00
1396181118731304964,Oh my god #eurovison I needed this 💃🏳️‍🌈,ruthiemcelroy,2021-05-22 19:08:13+00:00
1396180843173908482,"ariana grande do Azerbaijão uma das mais aplaudidas pelo público assim como os donos da casa obviamente, a Noruega muito carismática #eurovison",swtlights,2021-05-22 19:07:07+00:00
1396180800685674503,ACTUAL FLO RIDA?!?! #EUROVISON,lauralexx,2021-05-22 19:06:57+00:00
1396180752027553795,Wat tof dat ze zingen!!! Hele vette opening dit ❤❤❤❤ En die jurken 😍🌟🌟🌟 #Eurovison #Songfestival,_agentv_,2021-05-22 19:06:45+00:00
1396180598797000708,Let’s meet our hosts for this evening #eurovison,davidhortonshow,2021-05-22 19:06:09+00:00
1396180246911758336,Micheal macintyre doing a a great job there #eurovison,sparkymcj,2021-05-22 19:04:45+00:00
1396180221544521729,OKAYYY EPICCCC #eurovison,ministerblock,2021-05-22 19:04:39+00:00
1396180165575823360,ESC kann losgehen #eurovison #esc,GeneralTruhe,2021-05-22 19:04:25+00:00
1396180049196371983,Settling in for #eurovison by getting dressed up in my finest snoopy PJs. Let’s do this! https://t.co/L90YrfFqcH,loopyvirgo,2021-05-22 19:03:58+00:00
1396179670501109760,"ok ready for Eurovison in my country The Netherlands!!!
Yayyyy hope everyone has fun and it goes wel tonight! Good luck everyone and have fun!
#eurovison #gezellig #EUROVISION #spannend!",WisdomJusticeLV,2021-05-22 19:02:27+00:00
1396179604268847107,Bring on #eurovison I'm hoping it cheers me up on a really deep level. I haven't heard a single one of the songs and so I'm excited.,SaucySilasFans,2021-05-22 19:02:12+00:00
1396179530977529860,Popcorn und Cola stehen bereit. Schönen #Eurovison-Abend alle zusammen 😊,SeverinPick,2021-05-22 19:01:54+00:00
1396179475218436097,its time for livetweeting #eurovison,dotkrawl,2021-05-22 19:01:41+00:00
1396178164334964737,Ze gaan zo Venus zingen. Ben kneiterbenieuwd. #eurovison,Annajonky,2021-05-22 18:56:28+00:00
1396178144315514880,"Oh ja, vanavond eten we geen snacks boys! Groente is de nieuwe frituur, daar kan zelfs geen airfreyer tegenop! #broccoli #Eurovison #esf21",HDvdHeide,2021-05-22 18:56:23+00:00
1396178005152653315,"Snacks and drinks are ready to go, time for a long awaited #eurovison night! 😍🎶🎺 Something which I think everyone needs right now. 😊",Wafflage,2021-05-22 18:55:50+00:00
1396177989365288960,"Themed cocktails ✅
Scorecards ✅
Custom Gagnamagnid glasses ✅
Some friends in the house for the first time in over a year ✅

I think we're ready for #eurovison https://t.co/lM6QB6wrcj",EuroAyton,2021-05-22 18:55:47+00:00
1396177415332827137,"Da ich heute (sportlich) mit allem richtig lag. #deb Sieg gegen Norwegen. #effzeh Sieg und damit #Relegation und #DEL2 Meisterschaft für #Bietigheim, tippe ich jetzt mal den deutschen Beitrag beim #ESC2021 auf Platz 5 #Eurovison #Jendrik #GER",msz75,2021-05-22 18:53:30+00:00
1396176397769531397,"Ich wäre dann so weit. 

#ESC #ESC2021 #Eurovison",Johannes,2021-05-22 18:49:27+00:00
1396175653993594888,We are ready to watch. Grandma's commentary on #eurovison is going to be worth watching for alone. https://t.co/Oq0TRKLy5a,helengoddard,2021-05-22 18:46:30+00:00
1396174414555885569,Es geht wieder los #eurovison #escorf,bonesofdeath00,2021-05-22 18:41:34+00:00
1396172968485695490,"Busy watching #Eurovison, no more twitch tonight. Hoping for some wacky fun songs.

One of my favourites:
https://t.co/xLbhtmRarx",JPMateria,2021-05-22 18:35:49+00:00
1396171046882103297,Ik vind dat wij ook wel een pointje of doezen verdienen omdat we zitten te supporter! #Eurovison,babettevanveen,2021-05-22 18:28:11+00:00
1396168492760584199,"Ok, ich habe noch keine der Showd gesehen. Worauf muss ich mich gefasst machen?
Und: für wen sind wir?
#eurovison #esc2021",eskarina,2021-05-22 18:18:02+00:00
1396168107534786566,"Gosh, why is #Eurovison on so late? It'll be like 2am in eastern Europe when it finishes",RedOwl14,2021-05-22 18:16:31+00:00
1396165071038976002,"Hey so yanno how we have Australia in #eurovison, can we invite New Zealand",HimbobaFett,2021-05-22 18:04:27+00:00
1396163695768743938,i’m rearranging my #eurovison flags and i can feel the nurses in the nursing home across the road judging me https://t.co/QmC4XcJJKO,lhgluke,2021-05-22 17:58:59+00:00
1396157553629929473,"Emma che si percula da sola per il flop al #Eurovison 2014 per me vincitrice morale di quell'edizione (anche se esibizione e canzone facevano altamente cagare, obv)

#Eurovision2021 #ESCita",Usaunaltronome,2021-05-22 17:34:34+00:00
1396153940434165760,He may have failed his Southall ward &amp; @CASHcampaigners @DvdMrsdn but @_petermason could be a great success commentating #eurovison. Move over #GrahamNorton Peter Mason should be the next #bbc Eurovision commentator. What’s your fave song this year Peter?  Karma from Albania? https://t.co/gQRxUkpoWh,EalingIndys,2021-05-22 17:20:13+00:00
1396152642427043840,"💗 Eurovision is all about diversity and we are really proud of @tixmusic and his important story. Good luck in the final, our Fallen Angel!! 🇳🇴 ❤️🙌

#Eurovison #Norway 
https://t.co/E7qGbqSZEy",visitnorway,2021-05-22 17:15:03+00:00
1396150217830027264,Is everyone watching #Eurovison on #Netflix today in preparation for tonight?,_Kattnipp_,2021-05-22 17:05:25+00:00
1396149355921424386,"Q: What’s cheesier than #Eurovison?

A: See pic below 👇 https://t.co/iPwjKW0egw",fathippofood,2021-05-22 17:02:00+00:00
1396141856447156226,Cyprus and San Mar good openers and closers - Bulgaria a great palette cleanser for bops. But we need Malta to cut through the jury bait of France and televote bait of Italy. #eurovison,PeteOfTheNorth,2021-05-22 16:32:12+00:00
1396122214932549641,Now can we get @tom_aspaul to represent the UK at #Eurovison 2022 please?!? Thrilled to see him on the jury!! https://t.co/eY8cMDhafy,MrAdamR,2021-05-22 15:14:09+00:00
1396121388067573764,@victorabadf1 Tengo silenciado el #eurovison y a twitter le da igual,PabloRacing14,2021-05-22 15:10:52+00:00
1396112296896761860,"rooting for my country ig 🙏 
#eurovison #theroop https://t.co/BBAy5vhc1J",juneisepic,2021-05-22 14:34:44+00:00
1396111990528094213,00 days #eurovison https://t.co/MyxAAkaacV,Paulvanloon,2021-05-22 14:33:31+00:00
1396109845183582208,"Eurovisie Songfestival Grand Final. Kijk het LIVE op BVN. 
Vanuit Ahoy Rotterdam presenteren Chantal Janzen, Jan Smit, Edsilia Rombley en Nikkie de Jager de finale van ‘s werelds grootste liedjeswedstrijd.
#eurovison #OpenUp",bvn_tv,2021-05-22 14:25:00+00:00
1396107607044145154,I have four (4) bottles of Kylie Minogue branded wine for this evening. #eurovison,marcooth,2021-05-22 14:16:06+00:00
1396093903091249155,"Tipp für ESC-Fans: #ESCzusammen 🙂

Das Finale zusammen mit Freundinnen und Freunden im Stream schauen und kommentieren!

https://t.co/zZQeP56C5d
#ESC2021 #Eurovison",NDRpresse,2021-05-22 13:21:39+00:00
1396078138858299408,"🎶 Any Eurovision fans here? Who is your favorite tonight?? 🎤

#Eurovison #Norway",visitnorway,2021-05-22 12:19:00+00:00
1396063924655738880,"10th wedding anniversary yesterday, kids were meant to go to Grandma's so we could go out but 1 was ill so we stayed in any played Warhammer quest. Not the worst anniversary we've had. 

But tonight is #Eurovison baby!!!!!!

Prepare to be barraged with commentary! https://t.co/sl4KPQwBSk",ChristophPBacon,2021-05-22 11:22:31+00:00
1396061077188841478,Wie verwachten wij in de top 10 van #Eurovison? En waar eindigt @JeanguMacrooy https://t.co/TQxVnNVvhW #nieuweplaat,nieuweplaat,2021-05-22 11:11:13+00:00
1396058425617010688,Me preparing for this evening's #EuroVison dance-off...,JensRoehrich,2021-05-22 11:00:40+00:00
1396057372162940929,"I've just realized that 'Sono fuori di testa, ma diverso da loro' describes both Maneskin and Go_A's songs and maybe this is why they're the best and stand out, both original and not afraid to go slightly crazy, winners material👏 #eurovison #openup",Ash07425229,2021-05-22 10:56:29+00:00
1396054638638641154,It’s an amazing entry @craigwilde - what does everyone else think? Who will win @Eurovision ? #Eurovison,NGQDigital,2021-05-22 10:45:37+00:00
1396050057472974850,Gigliola Cinquetti returned for Italy in 1974 with the song 'Si' which came third in the #Eurovison where Abba won. https://t.co/pmQnGhER6z,TrimontiumTrust,2021-05-22 10:27:25+00:00
1396013777846407181,"Eurovision Song Contest 2021 Final tonight- Tune in now for Eurovison favorites with Angela Wilson
#eurovison #Eurovision2021 #JamesNewman #Embers #GoodLuck #Party #Saturday",RugDavRadio,2021-05-22 08:03:15+00:00
1395990415564804097,"""Grote BORSTEN!"" - Maarten van Rossem geeft COMMENTAAR op Eurovison 2021! #ccmashups #eurovison #maartenvanrossem #songfestival https://t.co/QwxK1R2wkl",ComedyCentralNL,2021-05-22 06:30:25+00:00
1395961718652776448,"HALLIHALLO LUITJES
HET ZONNETJE SCHIJNT
DE LUCHT IS BLAUW
HET IS WEER #SpekjesZaterdag 
OPSTAAAAAN VANDAAG BEGINT HET LANGE WEEKEND EN IS DE UIZENDING VAN #eurovison DUS KIJKEN ALLEMAAAL",Amadeusivan,2021-05-22 04:36:24+00:00
1395960654822051840,"@Berenkind 
GOEDEMORGEN GIJSJEEEEE GRIETJE EN TANTE RENATEEEEE
WAKKER WORDEN TIS #SpekjesZaterdag
OPSTAAAAAN VANDAAG BEGINT HET LANGE WEEKEND EN VANAVOND IS HET ##eurovison DUS KIJKENNNNNNN ALLEMAAL",Amadeusivan,2021-05-22 04:32:10+00:00
